CH1,CH2,CH3
110.0,94.0,77.0
109.0,89.0,82.0
108.0,88.0,82.0
115.0,89.0,90.0
108.0,88.0,77.0
108.0,88.0,83.0
107.0,89.0,79.0
107.0,91.0,77.0
110.0,91.0,77.0
106.0,89.0,76.0
107.0,88.0,84.0
109.0,89.0,83.0
105.0,98.0,84.0
104.0,88.0,76.0
105.0,88.0,79.0
108.0,94.0,78.0
107.0,92.0,79.0
109.0,99.0,85.0
108.0,91.0,77.0
108.0,91.0,84.0
107.0,95.0,78.0
104.0,93.0,83.0
107.0,89.0,78.0
110.0,89.0,77.0
107.0,94.0,78.0
107.0,84.0,83.0
105.0,90.0,83.0
104.0,91.0,82.0
106.0,93.0,78.0
109.0,90.0,76.0
108.0,91.0,79.0
107.0,90.0,79.0
105.0,93.0,85.0
105.0,89.0,83.0
108.0,88.0,78.0
111.0,88.0,85.0
111.0,95.0,85.0
108.0,93.0,83.0
107.0,91.0,82.0
107.0,92.0,79.0
109.0,91.0,83.0
107.0,105.0,83.0
119.0,97.0,77.0
110.0,99.0,78.0
105.0,99.0,79.0
106.0,94.0,75.0
108.0,88.0,83.0
106.0,95.0,78.0
106.0,90.0,84.0
106.0,89.0,78.0
109.0,93.0,78.0
107.0,87.0,77.0
110.0,90.0,79.0
106.0,90.0,78.0
111.0,90.0,84.0
126.0,89.0,78.0
113.0,88.0,82.0
109.0,89.0,78.0
105.0,89.0,78.0
109.0,90.0,77.0
108.0,90.0,79.0
107.0,94.0,76.0
107.0,91.0,79.0
107.0,92.0,78.0
109.0,88.0,81.0
107.0,90.0,77.0
108.0,91.0,78.0
109.0,89.0,85.0
104.0,89.0,83.0
109.0,89.0,84.0
107.0,91.0,78.0
106.0,87.0,83.0
108.0,88.0,84.0
109.0,89.0,82.0
109.0,89.0,83.0
105.0,90.0,76.0
109.0,87.0,82.0
109.0,87.0,83.0
107.0,88.0,78.0
110.0,93.0,85.0
110.0,89.0,79.0
110.0,91.0,83.0
106.0,88.0,78.0
105.0,87.0,79.0
106.0,89.0,83.0
106.0,87.0,79.0
105.0,89.0,78.0
106.0,89.0,83.0
108.0,91.0,85.0
105.0,88.0,78.0
109.0,89.0,78.0
108.0,94.0,79.0
109.0,89.0,78.0
108.0,88.0,83.0
109.0,87.0,81.0
116.0,87.0,85.0
110.0,89.0,78.0
107.0,91.0,82.0
105.0,89.0,78.0
105.0,88.0,83.0
107.0,89.0,79.0
109.0,89.0,85.0
109.0,88.0,77.0
111.0,87.0,78.0
109.0,89.0,80.0
105.0,87.0,82.0
107.0,88.0,79.0
107.0,90.0,76.0
108.0,89.0,77.0
111.0,89.0,78.0
107.0,91.0,78.0
106.0,87.0,85.0
109.0,88.0,79.0
108.0,89.0,79.0
115.0,93.0,79.0
111.0,89.0,87.0
109.0,89.0,84.0
109.0,89.0,77.0
105.0,87.0,84.0
107.0,91.0,83.0
107.0,89.0,78.0
111.0,89.0,80.0
109.0,87.0,85.0
109.0,94.0,85.0
107.0,93.0,83.0
107.0,91.0,78.0
118.0,93.0,81.0
104.0,88.0,78.0
112.0,91.0,82.0
105.0,101.0,78.0
108.0,95.0,82.0
116.0,89.0,77.0
107.0,89.0,77.0
105.0,91.0,81.0
111.0,90.0,81.0
116.0,89.0,83.0
103.0,92.0,81.0
106.0,92.0,83.0
107.0,91.0,80.0
107.0,92.0,87.0
109.0,93.0,83.0
107.0,90.0,84.0
109.0,88.0,83.0
105.0,90.0,77.0
105.0,88.0,79.0
107.0,87.0,77.0
108.0,91.0,83.0
107.0,89.0,77.0
108.0,87.0,79.0
105.0,93.0,85.0
107.0,88.0,84.0
111.0,91.0,82.0
106.0,97.0,82.0
107.0,92.0,77.0
109.0,87.0,77.0
105.0,89.0,86.0
107.0,87.0,77.0
111.0,90.0,84.0
105.0,90.0,78.0
104.0,94.0,79.0
116.0,93.0,79.0
109.0,93.0,83.0
108.0,88.0,77.0
107.0,87.0,83.0
105.0,89.0,84.0
107.0,90.0,78.0
106.0,89.0,85.0
105.0,89.0,78.0
101.0,89.0,84.0
105.0,95.0,79.0
107.0,88.0,77.0
107.0,89.0,83.0
107.0,92.0,83.0
109.0,90.0,78.0
110.0,91.0,77.0
107.0,87.0,83.0
108.0,91.0,77.0
105.0,88.0,81.0
107.0,86.0,83.0
104.0,89.0,84.0
106.0,88.0,77.0
114.0,95.0,84.0
109.0,90.0,79.0
106.0,88.0,75.0
106.0,90.0,83.0
107.0,87.0,77.0
107.0,89.0,83.0
108.0,88.0,81.0
106.0,89.0,79.0
108.0,88.0,84.0
112.0,91.0,85.0
107.0,88.0,81.0
117.0,89.0,78.0
106.0,88.0,83.0
106.0,92.0,77.0
104.0,89.0,85.0
105.0,92.0,77.0
109.0,90.0,80.0
109.0,90.0,77.0
107.0,88.0,77.0
105.0,91.0,81.0
107.0,90.0,77.0
108.0,88.0,77.0
107.0,88.0,76.0
108.0,89.0,82.0
105.0,88.0,86.0
111.0,87.0,85.0
116.0,92.0,79.0
107.0,89.0,83.0
107.0,88.0,79.0
107.0,90.0,79.0
117.0,88.0,77.0
115.0,89.0,82.0
107.0,88.0,78.0
107.0,93.0,78.0
105.0,91.0,78.0
105.0,89.0,77.0
109.0,93.0,78.0
104.0,87.0,85.0
104.0,88.0,81.0
107.0,88.0,79.0
107.0,93.0,77.0
111.0,95.0,76.0
107.0,90.0,79.0
108.0,87.0,78.0
109.0,91.0,83.0
105.0,90.0,79.0
107.0,89.0,77.0
106.0,103.0,79.0
104.0,92.0,79.0
107.0,93.0,77.0
108.0,91.0,85.0
108.0,90.0,81.0
108.0,77.0,83.0
110.0,90.0,81.0
107.0,91.0,82.0
111.0,90.0,77.0
108.0,94.0,77.0
110.0,91.0,78.0
109.0,91.0,79.0
106.0,97.0,83.0
110.0,89.0,83.0
105.0,91.0,84.0
107.0,89.0,78.0
116.0,90.0,83.0
103.0,93.0,76.0
107.0,90.0,83.0
105.0,93.0,83.0
108.0,88.0,84.0
103.0,91.0,79.0
110.0,88.0,84.0
110.0,91.0,85.0
107.0,91.0,78.0
110.0,88.0,77.0
110.0,93.0,77.0
