CH1,CH2,CH3
107.0,95.0,83.0
106.0,89.0,76.0
115.0,89.0,82.0
115.0,88.0,77.0
109.0,91.0,84.0
100.0,89.0,78.0
109.0,89.0,78.0
111.0,88.0,86.0
110.0,89.0,75.0
107.0,89.0,78.0
118.0,87.0,83.0
107.0,89.0,79.0
107.0,91.0,77.0
115.0,91.0,77.0
106.0,88.0,83.0
109.0,85.0,81.0
107.0,99.0,79.0
107.0,87.0,85.0
105.0,89.0,82.0
107.0,88.0,83.0
107.0,89.0,83.0
108.0,89.0,77.0
105.0,87.0,79.0
108.0,90.0,85.0
111.0,91.0,79.0
107.0,90.0,77.0
107.0,88.0,83.0
94.0,87.0,81.0
107.0,87.0,82.0
109.0,89.0,83.0
108.0,89.0,81.0
108.0,91.0,80.0
105.0,89.0,79.0
105.0,87.0,79.0
109.0,93.0,79.0
109.0,89.0,77.0
108.0,95.0,84.0
107.0,90.0,83.0
107.0,90.0,84.0
109.0,90.0,83.0
109.0,93.0,83.0
110.0,91.0,78.0
109.0,98.0,82.0
105.0,88.0,79.0
115.0,90.0,80.0
109.0,88.0,79.0
107.0,88.0,78.0
109.0,88.0,78.0
105.0,100.0,79.0
106.0,91.0,84.0
108.0,88.0,77.0
109.0,91.0,78.0
109.0,91.0,78.0
110.0,89.0,82.0
114.0,89.0,78.0
109.0,90.0,77.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
