CH1,CH2,CH3
105.0,91.0,77.0
106.0,92.0,78.0
105.0,91.0,83.0
106.0,99.0,82.0
109.0,92.0,78.0
111.0,89.0,76.0
107.0,94.0,79.0
109.0,93.0,83.0
109.0,91.0,79.0
105.0,99.0,84.0
103.0,90.0,84.0
110.0,93.0,86.0
107.0,92.0,80.0
107.0,94.0,82.0
107.0,89.0,81.0
111.0,101.0,73.0
106.0,99.0,78.0
109.0,94.0,78.0
111.0,99.0,82.0
107.0,91.0,81.0
106.0,91.0,82.0
110.0,91.0,77.0
104.0,93.0,81.0
107.0,92.0,83.0
107.0,91.0,82.0
107.0,93.0,78.0
109.0,92.0,84.0
108.0,90.0,81.0
108.0,91.0,79.0
105.0,104.0,84.0
109.0,89.0,79.0
117.0,87.0,77.0
107.0,99.0,85.0
105.0,91.0,79.0
105.0,94.0,76.0
110.0,92.0,82.0
115.0,99.0,81.0
107.0,91.0,83.0
108.0,88.0,83.0
105.0,90.0,79.0
117.0,91.0,79.0
107.0,93.0,77.0
107.0,89.0,83.0
109.0,93.0,77.0
108.0,93.0,85.0
109.0,90.0,84.0
108.0,90.0,78.0
108.0,91.0,81.0
110.0,90.0,79.0
108.0,99.0,76.0
105.0,90.0,81.0
109.0,98.0,78.0
107.0,89.0,83.0
110.0,89.0,79.0
105.0,91.0,78.0
108.0,92.0,77.0
110.0,100.0,79.0
107.0,90.0,86.0
109.0,89.0,87.0
110.0,92.0,79.0
109.0,100.0,85.0
108.0,90.0,79.0
107.0,91.0,79.0
109.0,98.0,83.0
108.0,94.0,79.0
118.0,97.0,83.0
111.0,89.0,87.0
107.0,91.0,85.0
111.0,90.0,77.0
102.0,92.0,80.0
106.0,99.0,77.0
106.0,90.0,78.0
107.0,89.0,79.0
107.0,92.0,82.0
106.0,90.0,79.0
107.0,93.0,87.0
107.0,93.0,77.0
107.0,99.0,87.0
107.0,90.0,84.0
107.0,92.0,83.0
114.0,90.0,77.0
106.0,92.0,78.0
107.0,91.0,83.0
109.0,91.0,78.0
117.0,90.0,83.0
107.0,98.0,83.0
108.0,99.0,77.0
107.0,99.0,87.0
105.0,93.0,85.0
107.0,100.0,78.0
109.0,94.0,78.0
115.0,95.0,77.0
115.0,93.0,84.0
108.0,91.0,83.0
107.0,97.0,86.0
109.0,93.0,78.0
110.0,92.0,82.0
109.0,89.0,84.0
107.0,92.0,77.0
117.0,89.0,78.0
109.0,90.0,88.0
105.0,93.0,85.0
108.0,90.0,79.0
108.0,90.0,78.0
105.0,93.0,78.0
109.0,93.0,79.0
107.0,90.0,83.0
110.0,97.0,79.0
110.0,105.0,78.0
111.0,98.0,83.0
110.0,92.0,79.0
111.0,92.0,77.0
116.0,102.0,78.0
110.0,91.0,77.0
109.0,91.0,79.0
108.0,89.0,77.0
109.0,91.0,80.0
110.0,91.0,76.0
115.0,91.0,79.0
111.0,92.0,79.0
115.0,91.0,83.0
111.0,101.0,78.0
108.0,92.0,83.0
107.0,91.0,77.0
107.0,93.0,87.0
109.0,97.0,99.0
110.0,97.0,78.0
108.0,93.0,82.0
115.0,99.0,78.0
107.0,93.0,78.0
108.0,91.0,78.0
105.0,91.0,76.0
107.0,91.0,85.0
108.0,92.0,77.0
110.0,92.0,83.0
108.0,91.0,82.0
106.0,91.0,81.0
107.0,92.0,77.0
110.0,91.0,76.0
107.0,89.0,77.0
107.0,90.0,83.0
108.0,93.0,77.0
108.0,92.0,81.0
109.0,94.0,77.0
107.0,91.0,82.0
111.0,94.0,78.0
108.0,91.0,82.0
105.0,94.0,76.0
109.0,95.0,81.0
117.0,93.0,84.0
105.0,93.0,79.0
105.0,94.0,79.0
107.0,91.0,83.0
106.0,94.0,81.0
109.0,89.0,69.0
107.0,91.0,84.0
107.0,91.0,86.0
121.0,93.0,76.0
111.0,91.0,83.0
107.0,100.0,78.0
107.0,92.0,83.0
107.0,93.0,77.0
108.0,93.0,79.0
126.0,83.0,79.0
108.0,94.0,77.0
108.0,92.0,78.0
111.0,93.0,80.0
106.0,90.0,84.0
108.0,92.0,79.0
116.0,99.0,82.0
107.0,91.0,81.0
107.0,94.0,78.0
107.0,90.0,83.0
109.0,94.0,83.0
105.0,91.0,82.0
116.0,91.0,82.0
107.0,92.0,78.0
109.0,92.0,84.0
109.0,93.0,77.0
107.0,90.0,78.0
108.0,92.0,76.0
108.0,93.0,78.0
107.0,90.0,87.0
108.0,99.0,76.0
108.0,98.0,83.0
117.0,93.0,84.0
107.0,93.0,77.0
108.0,91.0,77.0
107.0,89.0,87.0
108.0,94.0,79.0
111.0,93.0,79.0
107.0,94.0,79.0
112.0,92.0,78.0
109.0,93.0,77.0
107.0,90.0,79.0
107.0,93.0,83.0
101.0,98.0,76.0
110.0,92.0,77.0
107.0,92.0,86.0
107.0,91.0,78.0
107.0,90.0,82.0
110.0,89.0,85.0
111.0,102.0,77.0
110.0,91.0,85.0
106.0,93.0,76.0
109.0,90.0,77.0
110.0,92.0,78.0
108.0,91.0,83.0
108.0,92.0,83.0
111.0,93.0,83.0
112.0,91.0,82.0
109.0,93.0,86.0
109.0,91.0,83.0
109.0,91.0,76.0
108.0,91.0,82.0
106.0,99.0,81.0
107.0,91.0,78.0
107.0,91.0,77.0
115.0,95.0,79.0
107.0,90.0,79.0
108.0,98.0,76.0
105.0,91.0,78.0
108.0,93.0,81.0
107.0,91.0,78.0
107.0,98.0,78.0
105.0,93.0,35.0
109.0,90.0,77.0
107.0,92.0,81.0
109.0,93.0,77.0
109.0,90.0,79.0
110.0,91.0,85.0
116.0,91.0,81.0
105.0,91.0,83.0
108.0,93.0,85.0
109.0,93.0,85.0
107.0,95.0,80.0
108.0,89.0,83.0
107.0,93.0,82.0
116.0,91.0,78.0
107.0,92.0,77.0
116.0,90.0,77.0
105.0,91.0,79.0
107.0,90.0,82.0
106.0,91.0,77.0
116.0,93.0,76.0
107.0,91.0,75.0
108.0,93.0,85.0
105.0,93.0,82.0
106.0,93.0,77.0
