CH1,CH2,CH3
105.0,89.0,78.0
105.0,89.0,78.0
110.0,94.0,82.0
105.0,88.0,82.0
109.0,90.0,77.0
111.0,90.0,80.0
108.0,93.0,77.0
107.0,87.0,79.0
106.0,90.0,79.0
105.0,88.0,84.0
108.0,90.0,76.0
106.0,94.0,78.0
108.0,91.0,79.0
105.0,89.0,78.0
115.0,92.0,76.0
109.0,98.0,79.0
107.0,89.0,79.0
107.0,93.0,80.0
107.0,89.0,79.0
109.0,90.0,76.0
108.0,90.0,76.0
115.0,85.0,76.0
105.0,93.0,77.0
105.0,90.0,83.0
103.0,91.0,78.0
105.0,91.0,82.0
108.0,90.0,74.0
103.0,89.0,84.0
110.0,91.0,77.0
109.0,91.0,75.0
107.0,90.0,76.0
106.0,87.0,79.0
115.0,88.0,77.0
107.0,92.0,83.0
106.0,87.0,74.0
105.0,90.0,83.0
107.0,88.0,76.0
111.0,95.0,78.0
108.0,99.0,82.0
108.0,90.0,83.0
105.0,93.0,87.0
108.0,88.0,75.0
109.0,89.0,82.0
113.0,89.0,77.0
106.0,87.0,76.0
107.0,94.0,78.0
107.0,89.0,78.0
115.0,89.0,78.0
109.0,94.0,78.0
107.0,89.0,77.0
132.0,87.0,78.0
106.0,89.0,84.0
107.0,89.0,82.0
105.0,95.0,79.0
107.0,89.0,82.0
107.0,89.0,76.0
106.0,88.0,79.0
107.0,89.0,78.0
107.0,89.0,79.0
106.0,91.0,78.0
107.0,88.0,79.0
106.0,90.0,83.0
115.0,93.0,78.0
107.0,88.0,79.0
107.0,92.0,79.0
106.0,88.0,77.0
106.0,88.0,81.0
108.0,87.0,79.0
108.0,107.0,79.0
107.0,92.0,79.0
107.0,91.0,79.0
107.0,89.0,78.0
104.0,89.0,81.0
103.0,92.0,81.0
106.0,88.0,83.0
107.0,89.0,78.0
106.0,89.0,83.0
107.0,91.0,76.0
107.0,89.0,84.0
106.0,89.0,83.0
109.0,95.0,78.0
108.0,87.0,82.0
106.0,91.0,79.0
107.0,87.0,76.0
109.0,89.0,82.0
105.0,91.0,77.0
107.0,89.0,85.0
104.0,89.0,84.0
109.0,98.0,79.0
106.0,91.0,77.0
105.0,89.0,79.0
115.0,88.0,79.0
109.0,90.0,83.0
105.0,91.0,83.0
111.0,95.0,77.0
109.0,89.0,86.0
108.0,92.0,77.0
105.0,99.0,74.0
107.0,93.0,77.0
109.0,89.0,78.0
110.0,92.0,78.0
105.0,90.0,78.0
108.0,92.0,82.0
109.0,89.0,83.0
109.0,87.0,77.0
107.0,87.0,77.0
119.0,92.0,85.0
109.0,89.0,78.0
108.0,91.0,78.0
115.0,91.0,77.0
107.0,88.0,75.0
105.0,87.0,85.0
115.0,90.0,83.0
108.0,93.0,80.0
105.0,90.0,79.0
107.0,91.0,79.0
106.0,95.0,78.0
107.0,91.0,79.0
108.0,89.0,79.0
106.0,89.0,78.0
106.0,97.0,83.0
106.0,88.0,79.0
114.0,89.0,77.0
105.0,91.0,79.0
108.0,89.0,79.0
107.0,71.0,79.0
105.0,86.0,79.0
107.0,88.0,79.0
105.0,89.0,83.0
108.0,91.0,85.0
106.0,93.0,85.0
109.0,87.0,83.0
109.0,88.0,77.0
106.0,88.0,79.0
108.0,89.0,79.0
108.0,87.0,79.0
105.0,88.0,77.0
105.0,86.0,79.0
107.0,91.0,84.0
111.0,87.0,85.0
108.0,88.0,79.0
107.0,91.0,83.0
115.0,93.0,89.0
106.0,90.0,81.0
106.0,90.0,79.0
106.0,88.0,79.0
115.0,89.0,76.0
115.0,87.0,84.0
109.0,95.0,77.0
109.0,91.0,81.0
109.0,87.0,83.0
109.0,89.0,79.0
135.0,88.0,83.0
105.0,88.0,76.0
108.0,88.0,83.0
106.0,87.0,76.0
107.0,87.0,85.0
121.0,90.0,78.0
105.0,89.0,79.0
107.0,92.0,79.0
105.0,89.0,77.0
108.0,92.0,85.0
108.0,88.0,84.0
111.0,89.0,76.0
107.0,91.0,78.0
108.0,90.0,79.0
105.0,89.0,77.0
109.0,88.0,77.0
107.0,95.0,78.0
109.0,88.0,84.0
115.0,89.0,84.0
107.0,94.0,77.0
107.0,94.0,78.0
110.0,91.0,76.0
109.0,74.0,79.0
105.0,91.0,87.0
111.0,109.0,82.0
119.0,91.0,79.0
107.0,88.0,77.0
111.0,98.0,78.0
107.0,93.0,77.0
107.0,87.0,83.0
115.0,97.0,75.0
106.0,89.0,83.0
111.0,89.0,85.0
111.0,88.0,81.0
109.0,91.0,79.0
110.0,89.0,83.0
109.0,94.0,78.0
108.0,92.0,83.0
107.0,89.0,83.0
109.0,87.0,78.0
106.0,87.0,82.0
107.0,90.0,78.0
111.0,89.0,81.0
106.0,41.0,79.0
107.0,91.0,78.0
106.0,91.0,79.0
111.0,88.0,81.0
106.0,87.0,80.0
105.0,89.0,82.0
107.0,87.0,83.0
105.0,89.0,79.0
107.0,88.0,79.0
107.0,88.0,80.0
115.0,85.0,82.0
109.0,91.0,78.0
108.0,88.0,76.0
107.0,91.0,83.0
115.0,89.0,77.0
107.0,87.0,82.0
109.0,89.0,79.0
109.0,92.0,79.0
