FilePath,Label
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_0.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_1.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_10.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_11.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_12.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_13.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_14.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_15.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_16.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_17.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_18.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_19.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_2.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_20.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_21.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_22.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_23.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_24.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_25.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_26.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_27.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_28.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_29.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_3.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_30.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_31.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_32.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_33.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_34.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_35.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_36.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_37.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_38.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_39.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_4.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_5.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_6.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_7.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_8.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\1_EMG_stft_9.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_0.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_1.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_10.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_11.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_12.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_13.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_14.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_15.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_16.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_17.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_18.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_19.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_2.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_20.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_21.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_22.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_23.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_24.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_25.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_26.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_27.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_28.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_29.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_3.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_30.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_31.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_32.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_33.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_34.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_35.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_36.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_37.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_38.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_39.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_4.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_5.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_6.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_7.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach/EMG\baseline\2_EMG_stft_8.png,baseline
